Date_only,Entry_Diff,Exit_Diff,Total_Traffic
2022-01-01,695185.0,968946.0,1664131.0
2022-01-02,916998.0,1276090.0,2193088.0
2022-01-03,1756196.0,2105951.0,3862147.0
2022-01-04,1858505.0,2186344.0,4044849.0
2022-01-05,1845596.0,2167118.0,4012714.0
2022-01-06,1930788.0,2259910.0,4190698.0
2022-01-07,1667336.0,2035842.0,3703178.0
2022-01-08,1084040.0,1528158.0,2612198.0
2022-01-09,845768.0,1224760.0,2070528.0
2022-01-10,1874383.0,2218961.0,4093344.0
2022-01-11,1834147.0,2170741.0,4004888.0
2022-01-12,1967500.0,2319289.0,4286789.0
2022-01-13,2014843.0,2386683.0,4401526.0
2022-01-14,1996030.0,2400254.0,4396284.0
2022-01-15,1060708.0,1516976.0,2577684.0
2022-01-16,849564.0,1241927.0,2091491.0
2022-01-17,1212096.0,1583078.0,2795174.0
2022-01-18,2029014.0,2412647.0,4441661.0
2022-01-19,2116108.0,2502450.0,4618558.0
2022-01-20,2025554.0,2419917.0,4445471.0
2022-01-21,2009742.0,2429409.0,4439151.0
2022-01-22,1148150.0,1638713.0,2786863.0
2022-01-23,920396.0,1340705.0,2261101.0
2022-01-24,2027340.0,2391740.0,4419080.0
2022-01-25,2158153.0,2559239.0,4717392.0
2022-01-26,2158923.0,2582013.0,4740936.0
2022-01-27,2149554.0,2574544.0,4724098.0
2022-01-28,2095703.0,2539813.0,4635516.0
2022-01-29,733142.0,1138843.0,1871985.0
2022-01-30,886196.0,1305527.0,2191723.0
2022-01-31,1983061.0,2421449.0,4404510.0
2022-02-01,2006665.0,2527376.0,4534041.0
2022-02-02,2297738.0,2835558.0,5133296.0
2022-02-03,2289710.0,2763554.0,5053264.0
2022-02-04,2115162.0,2587045.0,4702207.0
2022-02-05,1259506.0,1832216.0,3091722.0
2022-02-06,961459.0,1436328.0,2397787.0
2022-02-07,2178952.0,2597581.0,4776533.0
2022-02-08,2408990.0,2860258.0,5269248.0
2022-02-09,2421002.0,2898937.0,5319939.0
2022-02-10,2443513.0,2929701.0,5373214.0
2022-02-11,2330955.0,2840489.0,5171444.0
2022-02-12,1439656.0,2073580.0,3513236.0
2022-02-13,975795.0,1461649.0,2437444.0
2022-02-14,2237891.0,2728509.0,4966400.0
2022-02-15,2371415.0,2877909.0,5249324.0
2022-02-16,2417261.0,2910240.0,5327501.0
2022-02-17,2431535.0,2930639.0,5362174.0
2022-02-18,2293304.0,2819335.0,5112639.0
2022-02-19,1283955.0,1856341.0,3140296.0
2022-02-20,1060001.0,1553625.0,2613626.0
2022-02-21,1472996.0,1908114.0,3381110.0
2022-02-22,2063782.0,2552581.0,4616363.0
2022-02-23,2236410.0,2760053.0,4996463.0
2022-02-24,2213400.0,2736483.0,4949883.0
2022-02-25,1951571.0,2465190.0,4416761.0
2022-02-26,1310937.0,1874290.0,3185227.0
2022-02-27,1037841.0,1522457.0,2560298.0
2022-02-28,2274698.0,2729371.0,5004069.0
2022-03-01,2443583.0,2952617.0,5396200.0
2022-03-02,2493329.0,3024699.0,5518028.0
2022-03-03,2480598.0,3026396.0,5506994.0
2022-03-04,2353594.0,2895703.0,5249297.0
2022-03-05,1390956.0,2005406.0,3396362.0
2022-03-06,1045426.0,1540164.0,2585590.0
2022-03-07,2312361.0,2807856.0,5120217.0
2022-03-08,2498807.0,3052201.0,5551008.0
2022-03-09,2388553.0,2948905.0,5337458.0
2022-03-10,2540711.0,3113397.0,5654108.0
2022-03-11,2433455.0,3024114.0,5457569.0
2022-03-12,1198321.0,1741381.0,2939702.0
2022-03-13,1006917.0,1463409.0,2470326.0
2022-03-14,2294896.0,2778487.0,5073383.0
2022-03-15,2517948.0,3076021.0,5593969.0
2022-03-16,2562170.0,3149915.0,5712085.0
2022-03-17,2427722.0,3015648.0,5443370.0
2022-03-18,2460855.0,3100472.0,5561327.0
2022-03-19,1429327.0,2084940.0,3514267.0
