Hour,Entry_Diff,Exit_Diff,Total_Traffic
0,35109576.0,63347202.0,98456778.0
1,13441063.0,25586174.0,39027237.0
2,1469421.0,1883723.0,3353144.0
3,4157648.0,9174847.0,13332495.0
4,6189799.0,15778279.0,21968078.0
5,2804053.0,5597601.0,8401654.0
6,780551.0,920606.0,1701157.0
7,11283537.0,9923047.0,21206584.0
8,54454659.0,50434686.0,104889345.0
9,40847838.0,45110797.0,85958635.0
10,5853719.0,8835378.0,14689097.0
11,36991459.0,49103435.0,86094894.0
12,79056789.0,115902943.0,194959732.0
13,34120972.0,51080667.0,85201639.0
14,3911118.0,5867167.0,9778285.0
15,29161375.0,39442176.0,68603551.0
16,84797663.0,111360484.0,196158147.0
17,51646229.0,64098604.0,115744833.0
18,7917504.0,9548428.0,17465932.0
19,46265354.0,63422242.0,109687596.0
20,101796705.0,151078677.0,252875382.0
21,42897975.0,67519405.0,110417380.0
22,4601891.0,6201665.0,10803556.0
23,17523894.0,30219967.0,47743861.0
