Unit,Entry_Diff,Exit_Diff,Total_Traffic
R170,10420777.0,19273795.0,29694572.0
R055,9241319.0,12125596.0,21366915.0
R084,8520417.0,12387693.0,20908110.0
R046,7401223.0,13130864.0,20532087.0
R540,9121498.0,11165409.0,20286907.0
R022,7584859.0,12601038.0,20185897.0
R018,8850732.0,10541991.0,19392723.0
R011,6696316.0,10710060.0,17406376.0
R020,6194853.0,10835710.0,17030563.0
R012,6690984.0,9323411.0,16014395.0
R057,5946903.0,9523032.0,15469935.0
R033,6599352.0,8817063.0,15416415.0
R179,5466698.0,9624714.0,15091412.0
R032,4233888.0,10753402.0,14987290.0
R014,6079729.0,8737945.0,14817674.0
R023,4987258.0,9442363.0,14429621.0
R293,5581039.0,8312237.0,13893276.0
R138,4346522.0,9132575.0,13479097.0
R452,4585084.0,8250129.0,12835213.0
R175,4875756.0,7846519.0,12722275.0
R168,4575637.0,7868980.0,12444617.0
R021,4159404.0,7811766.0,11971170.0
R047,3612955.0,7610984.0,11223939.0
R235,2964724.0,8258436.0,11223160.0
R552,5114678.0,5760429.0,10875107.0
R029,4807915.0,6015449.0,10823364.0
R025,4415364.0,6030913.0,10446277.0
R010,4105288.0,6230375.0,10335663.0
R051,3990713.0,6009072.0,9999785.0
R097,4325399.0,5541348.0,9866747.0
R102,3677760.0,5721543.0,9399303.0
R031,3078462.0,6312804.0,9391266.0
R541,5183029.0,4195038.0,9378067.0
R044,3512883.0,5748935.0,9261818.0
R127,3987440.0,5170972.0,9158412.0
R178,3403897.0,5744060.0,9147957.0
R132,3420639.0,5695286.0,9115925.0
R001,3787812.0,5316196.0,9104008.0
R570,3532649.0,5401412.0,8934061.0
R142,3368973.0,5534593.0,8903566.0
R028,2819768.0,6068071.0,8887839.0
R549,3943713.0,4921880.0,8865593.0
R208,3795814.0,5062611.0,8858425.0
R461,2340514.0,6512071.0,8852585.0
R080,3751270.0,5063825.0,8815095.0
R024,3785237.0,4719966.0,8505203.0
R248,2530790.0,5952961.0,8483751.0
